Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
9,31.666727,0.016964968,141.1747482,18.94066465
9,29.962898,0.015720386,139.2597036,18.4832276
9,29.802597,0.014690923,141.8703781,17.52602122
9,30.43767,0.015710633,137.2682464,17.91459317
9,30.508612,0.01482935,143.2075134,17.45729004
9,29.69956,0.013777273,140.7700768,16.27660004
9,30.540625,0.015926228,139.0322622,18.40346143
9,30.419092,0.015624512,143.7031334,18.39719199
9,29.943314,0.015684136,136.0729866,17.90433993
9,30.68691,0.016772776,139.6936297,19.21179058
9,31.23149,0.017167301,137.5035388,19.21567257
9,30.136175,0.016232885,139.0424694,18.76721112
9,30.007109,0.01396265,142.4724998,16.46353081
9,30.639505,0.017033979,138.7468967,19.48525815
9,29.911966,0.014908249,135.7439359,17.20544229
10,30.709307,0.015476815,136.0039098,19.22546095
10,31.198822,0.015618907,135.1961214,18.93924547
10,30.186806,0.014361768,140.7234611,18.75577925
10,30.702995,0.014241101,139.225327,18.04488823
10,30.758888,0.014250579,141.6730059,18.48241908
10,29.076797,0.012584295,140.2698049,16.83729813
